X;workerid;proliferate.condition;samediff_mirrornorm;samediff;categories;failed_audio;failed_images;failed_video;internal_node_id;response;rt;sequence_id;same_mirror_normal;stimulus;success;time_elapsed;timeout;trial_index;trial_type;view_history;error;language
1;28;condition1;_;;;[];[];[];0.0-0.0;;NA;0;;;TRUE;3780;FALSE;0;preload;;NA;french
2;28;condition1;_;;;;;;0.0-1.0;;44702;1;;;NA;48483;NA;1;instructions;[{'page_index': 0;NA;french
3;28;condition1;_;;;;;;0.0-2.0-0.0;;NA;0;;img2/tools/2.jpg;NA;48704;NA;2;image-keyboard-response;;NA;french
4;28;condition1;_;;;;;;0.0-2.0-1.0;;NA;1;;+;NA;49020;NA;3;html-keyboard-response;;NA;french
5;28;condition1;_;;;;;;0.0-2.0-2.0;;NA;2;;img2/Mtools/2.jpg;NA;49241;NA;4;image-keyboard-response;;NA;french
6;28;condition1;_M;;;;;;0.0-2.0-3.0;s;1401;3;M;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
7;28;condition1;_;;;;;;0.0-3.0;;2908;3;;;NA;53551;NA;6;instructions;[{'page_index': 0;NA;french
8;28;condition1;_;;;;;;0.0-4.0-0.0;;NA;0;;img2/jap/2.jpg;NA;53794;NA;7;image-keyboard-response;;NA;french
9;28;condition1;_;;;;;;0.0-4.0-1.0;;NA;1;;+;NA;54110;NA;8;html-keyboard-response;;NA;french
10;28;condition1;_;;;;;;0.0-4.0-2.0;;NA;2;;img2/jap/3.jpg;NA;54346;NA;9;image-keyboard-response;;NA;french
11;28;condition1;_T;;;;;;0.0-4.0-3.0;d;653;3;T;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
12;28;condition1;_;;;;;;0.0-5.0;;2153;5;;;NA;57154;NA;11;instructions;[{'page_index': 0;NA;french
13;28;condition1;_;;;;;;0.0-6.0-0.0;;NA;0;;img2/tools/6.jpg;NA;57370;NA;12;image-keyboard-response;;NA;french
14;28;condition1;_;;;;;;0.0-6.0-1.0;;NA;1;;+;NA;57679;NA;13;html-keyboard-response;;NA;french
15;28;condition1;_;;;;;;0.0-6.0-2.0;;NA;2;;img2/tools/6.jpg;NA;57891;NA;14;image-keyboard-response;;NA;french
16;28;condition1;S_T;S;O;;;;0.0-6.0-3.0;s;451;3;T;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
17;28;condition1;_;;;;;;0.0-6.0-0.1;;NA;0;;img2/Mjap/2.jpg;NA;58596;NA;16;image-keyboard-response;;NA;french
18;28;condition1;_;;;;;;0.0-6.0-1.1;;NA;1;;+;NA;58910;NA;17;html-keyboard-response;;NA;french
19;28;condition1;_;;;;;;0.0-6.0-2.1;;NA;2;;img2/Mjap/8.jpg;NA;59163;NA;18;image-keyboard-response;;NA;french
20;28;condition1;D_M;D;J;;;;0.0-6.0-3.1;d;433;3;M;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
21;28;condition1;_;;;;;;0.0-6.0-0.2;;NA;0;;img2/Mfaces/13.jpg;NA;59824;NA;20;image-keyboard-response;;NA;french
22;28;condition1;_;;;;;;0.0-6.0-1.2;;NA;1;;+;NA;60129;NA;21;html-keyboard-response;;NA;french
23;28;condition1;_;;;;;;0.0-6.0-2.2;;NA;2;;img2/Mfaces/10.jpg;NA;60362;NA;22;image-keyboard-response;;NA;french
24;28;condition1;D_M;D;H;;;;0.0-6.0-3.2;d;505;3;M;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
